"frostobs" "tobs" "indic" "name" "alti" "date" "flevap" "flir" "fllat" "hu1000" "hu2" "nb" "nc" "nh" "nm" "ntHm3" "nt" "pmer" "rrcv" "rrge" "sncv" "snge" "gradt1" "tprev" "ff" "month" "ddf"
"50" "1" -2.90000009536743 "21473001" "OUGES" 219 2011-01-03 -0.00420873013388245 -298157.373650194 -11621.5003681183 47.4979275223177 97.5600820317538 7.33410326723242 0.088792159294824 2.84811903169612 1.91108674653514 7.36379725021834 7.63856180550647 1021.35298235029 0 0 0 0.00379766851506239 -1.93762617335961 -4.38963563042705 0.642614542039403 "1" "C"
"51" "1" -5.40000009536743 "25056001" "BESANCON" 307 2011-01-03 -0.00126159284263849 -310477.949568696 -3512.79132460058 28.8486438945384 96.9847262159508 5.00468273386923 0 2.56364947254497 3.36937421560287 8 6.63239351774519 1021.18484479204 0 0 0 0.000846745441002383 -0.494799912146163 -5.02056456867911 0.315887690136246 "1" "C"
"52" "0" 0.5 "31069001" "BLAGNAC" 151 2011-01-03 0.000602830434218058 -476603.234449674 738.505322434019 32.1157524152582 97.5521157141233 0.106872816368421 0.286602029276306 6.9462017849139 3.70808673201963 7.48444006143972 7.2297812104225 1019.80251040983 0 0 0.000385750085115441 0 2.26257328876006 -2.12728556581482 0.670321720633832 "1" "C"
"53" "1" -1.70000004768372 "33281001" "MERIGNAC" 47 2011-01-03 0.000375731405825698 -380360.570434446 763.51586914065 3.0995737714882 97.895908682847 0.00375576018984689 0 5.704563368869 4.17498645783076 7.32749537676875 6.44372961373346 1019.47513275385 0 0 1.29774795150094e-05 0 3.65556339472078 -2.76245526335904 0.982760607581025 "1" "C"
"54" "0" 0.300000011920929 "34154001" "MAUGUIO" 2 2011-01-03 -0.0916091826787465 -190439.163141853 -225991.862659074 36.0024308607551 87.5530365868374 6.74892816646227 0 6.41277727145234 6.13086903434714 7.87034457243044 7.81982477820474 1018.65607219750 0 0.0418558276400271 0 0 -2.23018581203078 3.24663181812165 1.48409527817784 "1" "W"
"55" "0" 1.5 "35281001" "SAINT-JACQUES-DE-LA-LANDE" 36 2011-01-03 -0.0295667760093607 -373889.268382401 -74746.458502218 97.7654346807846 94.6074637628872 6.40094300140208 0 0 0 5.56273545838121 6.40094300140208 1019.73697289787 0 0 0 0 -1.59074314433246 -1.30074471140086 2.6196562748725 "1" "S"
"56" "0" 0.800000011920929 "44020001" "BOUGUENAIS" 26 2011-01-03 -0.00151113777933691 -572838.066519694 -4638.40547780641 89.7122040309056 97.6289447305426 1.51555868512403 0 0 0.0625 5.07083210213098 1.57805868512403 1020.24146651268 0 0 0 2.15641743164248e-05 1.79340273491359 -4.23215115424446 1.56777914928779 "1" "E"
"57" "1" -1.60000002384186 "45055001" "BRICY" 125 2011-01-03 -0.00630932230914638 -340923.07816582 -16953.9140570574 62.1324347449833 98.5892177036864 8 0 1.08159783499161 0.106249377131462 7.18645565161944 8 1021.32833343506 0 0.00773654737922058 9.4942514418328e-05 0.0167941595414716 -0.337225172502599 -5.19408407219606 0.543921778426828 "1" "C"
"58" "1" -0.699999988079071 "51183001" "COURCY" 91 2011-01-03 -0.0284794125525423 -90946.6759705541 -76914.9866051673 91.2099750622246 98.5243448720098 8 0 3.72994413838022 0.147004172875309 8 8 1021.04416656494 0 0.00793296098709112 0 0.0173858350922278 -4.80396913347794 -3.45377443624454 1.70331283168074 "1" "S"
"60" "1" -2.70000004768372 "54526001" "TOMBLAINE" 212 2011-01-03 -0.0241785907911023 -116347.555208362 -69386.7892361209 70.3082145605673 98.3458265320715 8 0 3.95488381385801 3.91860682831928 8 8 1021.55877675671 0 0.00813022748459955 9.22059743722029e-05 0.0475911083631217 -3.50124327838421 -4.42692542075975 0.595142995461214 "1" "C"
"61" "1" -0.100000001490116 "59343001" "LESQUIN" 47 2011-01-03 -0.0460833625588463 -178577.080327112 -120936.292158179 87.3072456619706 97.4379059225317 4.51578307807495 0 0.612499237060543 0 7.80671895325167 4.79187640428609 1019.08050057411 0 0.00193847691640769 0 0.00787843425758444 -3.16119182080047 -2.19103291973466 4.29415539886347 "1" "S"
"62" "1" -8.5 "63113001" "CLERMONT-FERRAND" 331 2011-01-03 0.000744432210922252 -741474.327634454 -100.155820131323 47.5827513719367 93.2540800536003 0 0 5.47059710744359 0 7.13956042054632 5.47059710744359 1020.44023675499 0 0 0 0.000240883789956570 1.45807009878263 -6.13790505585564 0.803621143483741 "1" "C"
"63" "1" -3.5 "67124001" "ENTZHEIM" 150 2011-01-03 -0.0102893326131834 -68589.8170976639 -27520.2672324181 64.7068604034757 98.721302517572 8 0 5.33470113633666 4.41665927020949 7.98116747647873 8 1021.61715967779 0 0.0142806023359299 0 0.0497415086190358 -2.17112904869282 -4.7360882409688 0.883799590725253 "1" "C"
"64" "1" -4.59999990463257 "69029001" "BRON" 197 2011-01-03 -0.00646536624653038 -328279.907162628 -17932.1544292867 78.2537145101004 98.2548307951753 7.66766522569925 0 0.178752743132467 0.0297937667792209 7.85731340327129 7.66766522569925 1020.95993216590 0 0.0106315472362724 0 0.0235766844374795 3.26265913700377 -5.40811618130272 0.803604246554843 "1" "C"
"65" "1" -0.600000023841858 "75114001" "PARIS-14E" 75 2011-01-03 -0.0220608507045130 -259514.595233639 -58898.328270421 72.8461033589326 98.6046762474656 7.2804126739502 0 5.46253614248142 0.746647454195686 7.6839841282108 7.75845500142032 1020.91984538594 0 0.00353840552270424 0 0.0110458607716062 -2.03359072132276 -4.13327197606962 2.40219465791386 "1" "S"
"66" "1" -0.100000001490116 "76116001" "BOOS" 151 2011-01-03 -0.00738179061199691 -382519.956192922 -19777.7444008982 100 94.3986689501097 7.09757879487234 0 0 1.23646311461924 6.94924891105848 7.09757879487234 1019.51062428841 0 0.00229782410628231 0 0.00915998566129964 -2.25618407416565 -2.75791954536681 2.94769636237152 "1" "S"
"67" "1" 0 "80001001" "ABBEVILLE" 70 2011-01-03 -0.0322053821057155 -472054.061157122 -82157.7997554842 77.8248042729146 92.529792492276 4.93629108966161 0 0.539215829970995 0.800310045480731 6.07584038972345 5.14691641033459 1018.63214891338 0 0.000457251351406267 0 0.000373968412148433 -2.65103641897440 -1.61149953231404 4.03643952862877 "1" "S"
"68" "1" -2 "86027001" "BIARD" 123 2011-01-03 -0.0225791369448416 -154392.386412225 -61866.5330949249 62.4365610336395 98.267754121546 7.16904887065943 0 0 0.376948683607392 8 7.22769507274683 1020.90055644008 0 0.00608297597765356 0 0.0253497081007006 2.97507047949546 -5.02894546850163 1.40198119381492 "1" "E"
"69" "1" -5.30000019073486 "87085006" "LIMOGES" 402 2011-01-03 0.00506816850975158 -617833.146780551 13144.1307788268 17.0039144475830 97.9689655321426 2.81626316095797 0 7.89078471730227 0 7.38638226355079 7.93932483265872 1020.33135763752 0 0 0 0 2.72469591761592 -5.31241064370762 1.49532866129832 "1" "E"
"70" "0" 6.69999980926514 "13054001" "MARIGNANE" 9 2011-01-04 -0.0440154093461163 -109450.590054461 -109463.034009964 100 89.683880438944 8 5.48761347639265 8 7.11396947362482 8 8 1016.30804333552 0.01702422187401 0.0272996340491431 0 0 -3.47567205271662 3.81195459787671 3.97351202563833 "1" "E"
"71" "1" -0.800000011920929 "14137001" "CARPIQUET" 67 2011-01-04 -0.0624937570717812 -796090.132699081 -159408.7203607 74.1910840488711 82.2405535382884 0.0827085748314875 0 2.21729256957768 0 4.44452172310087 2.28681333900424 1007.22423782878 0 0 0 0 2.10276653141249 -1.84949411991502 4.46092277076189 "1" "S"
"72" "0" 5 "20004002" "AJACCIO" 5 2011-01-04 -0.0303725363662576 -440601.874732253 -74375.4303903573 88.0783222742594 87.927715207843 2.27645098694483 0 5.86499547958374 0.262055744562530 6.88250693358714 6.49038635674515 1017.79703710351 3.86664928555572e-05 0.0003780898568948 0 0 -5.41676054698473 5.44261966485793 2.61234612308903 "1" "E"
"73" "1" -4.80000019073486 "21473001" "OUGES" 219 2011-01-04 -0.0082342647289124 -203792.508119226 -22779.4979548454 38.3787135861780 98.6520830610118 7.34629351181502 0 0.679795617208585 0.00469099913607341 7.27983445771678 7.41056496185774 1014.40564336327 0 0.00296885875195586 0 0.0104918253281312 4.90237375079596 -5.06048177624178 0.840691110947324 "1" "C"
"74" "1" -5.69999980926514 "25056001" "BESANCON" 307 2011-01-04 0.00973736778909995 -674308.884958588 26527.8742219806 43.6915771151732 93.2939424157297 0 0 2.48138997750175 0 4.89173772139657 2.48138997750175 1013.88894800790 0 0 0.000221628082734071 0 4.67394901164494 -5.50049892768823 1.09619315014032 "1" "S"
"75" "0" 2.70000004768372 "31069001" "BLAGNAC" 151 2011-01-04 -0.0832540144002998 16022.6552784676 -206238.442193225 82.530880507475 88.5848536394147 1.35038260516418 0 3.41555677502834 2.48954686225492 8 5.40559077559874 1012.39130299139 0.0304057280456727 0.195991842450637 0 0 0.77949542552233 4.08997164778799 6.83797684377614 "1" "S"
"76" "0" 2.5 "33281001" "MERIGNAC" 47 2011-01-04 0.0317095224167035 156197.357025704 78938.141846693 80.9699264423978 98.9003494457504 7.96042175292666 0 0.466255180537688 0 7.76915801168092 7.96042175292666 1009.32649293423 0 0.226935083701034 0 0 2.01314444465159 3.77702410149013 2.31855634900793 "1" "S"
"77" "0" 2.29999995231628 "34154001" "MAUGUIO" 2 2011-01-04 -0.20637808168485 -102114.253134525 -512377.540770495 100 93.3814231345324 8 0 8 8 8 8 1015.54832991654 0.223689519290173 0.138214928893654 0 0 -1.46475991135005 3.48715805004767 5.99929940320988 "1" "N"
"78" "1" -0.200000002980232 "35281001" "SAINT-JACQUES-DE-LA-LANDE" 36 2011-01-04 -0.00934414271001313 -592287.215954121 -24946.3584086447 99.0438575151082 88.3105210144031 8 0 0.638648778200152 8 1.22016348445595 8 1007.16307737988 0 0.0163630982899861 0 0 4.83786501237705 -2.04775683480409 4.34286644529533 "1" "S"
"79" "0" 2 "44020001" "BOUGUENAIS" 26 2011-01-04 -0.00256434084767164 -389911.216788908 -7281.7913917792 95.5191451597706 93.6983752520586 7.03588015069204 0 0.647973788483562 0 2.87321097236329 7.1268707215786 1007.50179296017 0 0 0 0 3.9959608379521 -0.886612345149543 3.63332323347983 "1" "S"
"80" "1" -2.90000009536743 "45055001" "BRICY" 125 2011-01-04 0.00594177818857133 -703488.774198981 16268.4541070051 52.5984513476398 97.7707286238534 1.01875062286854 0 2.61701397614399 0 0.0947901313519424 3.28576423244397 1010.28051389212 0 0 0 0 4.60816444419206 -5.69802906095006 2.05170781431583 "1" "E"
"81" "1" -1.70000004768372 "51183001" "COURCY" 91 2011-01-04 -0.0519256410882456 -218684.200688245 -143071.988849161 89.8052651261198 91.3385638873592 1.86436108156351 0 5.07596592672053 0 6.58850837909266 5.74746236338983 1011.67859986804 0 0.000179888235834452 0.000241286343680258 0.00823088913239231 -2.08504715427992 -2.45952475165392 4.11967500366217 "1" "S"
"83" "1" -4.69999980926514 "54526001" "TOMBLAINE" 212 2011-01-04 0.007847925099643 -758695.558235685 21156.7133463248 50.1889264045481 99.2747982555189 1.33569515811132 0 1.56058968173192 0 4.72202859189653 2.60482736561152 1013.78164572991 0 0 0 0.000442715827375664 4.2575254748274 -6.44677540063857 1.76625311354921 "1" "E"
